label,text
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
legitimate,Can you please review this code PR when you have a moment?
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000. urgent"
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Please find the meeting minutes attached for your review.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
legitimate,Can you please review this code PR when you have a moment?
legitimate,Are you available for a quick sync later today?
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,Final Notice: Your invoice #9626 is overdue. Download the attached PDF to view details.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Can you please review this code PR when you have a moment?
legitimate,"Hi team, just a reminder about our meeting at 2 PM today. See you there."
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now.
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
phishing,Please review the attached secure document from HR regarding your salary update. urgent
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
legitimate,Thank you for your recent purchase. Your receipt is attached.
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
phishing,Please review the attached urgent secure document from HR regarding your salary update.
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
phishing,Congratulations! You are our lucky winner today. Click here to claim your reward.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
phishing,"Dear customer, your package could not be delivered. Pay the shipping fee here."
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,Security Alert: We detected unusual login activity on your account. Reset your password immediately.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
phishing,"Hustler Fund Alert: Your loan of KES urgent 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,Warning: Your mailbox is almost full. Upgrade your storage by clicking urgent the link.
phishing,Exclusive offer! Buy cheap medications online without prescription.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,"Hi team, just a reminder about our meeting at 2 PM today. See you there."
phishing,Action Required: Verify your email address to avoid service interruption.
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
legitimate,I'll be out of the office next week on vacation. Please contact Sarah for urgent issues.
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,Warning: Your mailbox is almost full. Upgrade your storage by clicking the link.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till urgent number to receive it."
phishing,URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=6513
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Final Notice: Your invoice #5095 is overdue. Download the attached PDF to view details.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=4328
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
phishing,Final Notice: Your invoice #2323 is overdue. Download the attached PDF to view details.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to urgent claim."
phishing,"Dear customer, your package could urgent not be delivered. Pay the shipping fee here."
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,"Dear customer, your package could not be delivered. Pay the shipping fee here."
phishing,Alert: Someone tried to access your bank urgent account from a new device. Secure it now.
phishing,Final Notice: Your invoice #1219 is overdue. Download the attached PDF to view details.
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
phishing,Please review the attached secure document from HR regarding urgent your salary update.
phishing,Congratulations! You are our lucky winner today. Click here to claim your reward.
legitimate,Are you available for a quick sync later today?
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,"Dear customer, your package could not be delivered. Pay the shipping fee here."
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here urgent to update: http://equity-update.com"
legitimate,Please find the meeting minutes attached for your review.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,Final Notice: Your invoice #2740 is overdue. Download the attached PDF to view details.
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,Exclusive offer! Buy cheap medications online without prescription.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the urgent Shinda Mawe promotion. Call 0722000000 to claim."
phishing,Alert: Someone tried to access your bank account from a new device. Secure it urgent now.
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
legitimate,Please find the meeting minutes attached for your review.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Fuliza Limit urgent Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Hello! Let's meet at Java House Kimathi Street at 4 PM for the interview.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Your Amazon order #7796 has shipped and will arrive by tomorrow.
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=7155
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
legitimate,I'll be out of the office next week on vacation. Please contact Sarah for urgent issues.
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
phishing,urgent URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=5288
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
phishing,Action Required: Verify your email address to avoid service interruption.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,Exclusive offer! Buy cheap medications online without prescription.
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
phishing,Action Required: Verify your email address to avoid service interruption.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
legitimate,Thank you for your recent purchase. Your receipt is attached.
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Safaricom: Your data bundle is below 10MB. Dial *544# to buy another bundle.
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
phishing,Warning: Your mailbox is almost full. Upgrade your storage by clicking the link.
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Your Apple ID has urgent been locked for security reasons. Verify your account at the link below.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,Exclusive offer! Buy cheap medications online without prescription.
legitimate,Safaricom: Your data bundle is below 10MB. Dial *544# to buy another bundle.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
legitimate,I'll be out of the office next week on vacation. Please contact Sarah for urgent issues.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now.
phishing,"Warning! urgent M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
phishing,Action Required: Verify your email address to avoid service interruption.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
legitimate,Your Amazon order #3410 has shipped and will arrive by tomorrow.
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,Exclusive offer! Buy cheap medications online without urgent prescription.
phishing,Please review the attached secure document from HR regarding your salary update.
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Final Notice: Your invoice #4883 is overdue. Download the urgent attached PDF to view details.
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
legitimate,Are you available for a quick sync later today?
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,Congratulations! You are our lucky winner today. Click here to claim your reward.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
legitimate,Can you please review this code PR when you have a moment?
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,"KRA Alert: You have a pending tax urgent penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,Security Alert: We detected unusual login activity on your account. Reset your password immediately.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
phishing,Your urgent KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
phishing,"Dear customer, your package could not be delivered. Pay the shipping fee here."
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Thank you for your recent purchase. Your receipt is attached.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
legitimate,Don't forget to submit your timesheets by Friday afternoon.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,"Dear urgent Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
phishing,"Safaricom: urgent Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
phishing,Congratulations! You are our lucky winner today. Click here to claim your reward.
phishing,Your Netflix subscription urgent has expired. Update your payment details to continue watching.
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
legitimate,KRA: Your tax returns for the year have been filed successfully.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,KRA: Your tax returns for the year have been filed successfully.
phishing,Your PayPal account is urgent restricted. Please update your billing information within 24 hours.
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
phishing,"Dear customer, your package could not be delivered. Pay the shipping fee here."
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now.
phishing,Action Required: Verify your email address to avoid service interruption. urgent
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,Thank you for your recent purchase. Your receipt is attached.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration urgent fee of KES 200 to this till number to receive it."
legitimate,Can you please review this code PR when you have a moment?
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
phishing,Security Alert: We detected unusual login activity on your account. Reset your password immediately.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
legitimate,KRA: Your tax returns for the year have been filed successfully.
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
phishing,Urgent: Your account has been suspended. Click here to urgent verify your identity.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,Thank you for your recent purchase. Your receipt is attached.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,Happy Birthday! Hope you have a wonderful day celebrating.
phishing,"Dear Parent, this is your child's teacher. Please send 2000 bob for an urgent school trip to this number: 0712345678"
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Security Alert: We detected unusual login activity on your account. urgent Reset your password immediately.
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Your KPLC Token is 1234 5678 9012 3456 7890. Amount: KES 1000. Units: 45.2
legitimate,Thank you for your recent purchase. Your receipt is attached.
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive urgent it."
legitimate,Your Amazon order #2245 has shipped and will arrive by tomorrow.
phishing,"Safaricom: Congratulations! You have won KES 50,000 in the Shinda Mawe promotion. Call 0722000000 to claim."
phishing,Action Required: Verify your email address to avoid service interruption.
phishing,You have a pending tax refund. Click here to fill out the form and claim your money.
phishing,URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=2116
phishing,URGENT: Your M-Pesa account has been suspended. Click here to verify your identity http://mpesa-verify.duckdns.org/verify?id=8725
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
phishing,Your Netflix subscription has expired. Update your payment details to urgent continue watching.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,Safaricom: Your data bundle is below 10MB. Dial *544# to buy another bundle.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,Reminder: The tech meetup at iHub starts at 9:00 AM on Saturday.
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,"Hustler Fund Alert: Your loan of KES 10,000 has been approved. Pay a registration fee of KES 200 to this till number to receive it."
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Your Amazon order #4518 has shipped and will arrive by tomorrow.
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
legitimate,KRA: Your tax returns for the year have been filed successfully.
legitimate,"Hi mum, I arrived safely in Nairobi. I'll call you later in the evening."
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
phishing,urgent Security Alert: We detected unusual login activity on your account. Reset your password immediately.
legitimate,I'll be out of the office next week on vacation. Please contact Sarah for urgent issues.
phishing,"Warning! M-Shwari loan limit decreased. Click here to increase your limit back to KES 30,000."
phishing,"KRA Alert: You have a pending tax penalty of KES 5,000. Pay immediately via this link to avoid prosecution: http://kra-penalties.org"
phishing,Your KPLC prepaid meter will be disconnected today. Pay outstanding balance here: http://kplc-payment.net
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
legitimate,Hello! Let's meet at Java House Kimathi Street at 4 PM for the interview.
